Источник,Год публикации,Автор,Страна,Место,Ссылка,Широта ,Долгота,
Особенности комплекса минирующих насекомых в г. Москве,2011,Д.А. Белов,Россия,г. Москва,https://cyberleninka.ru/article/n/osobennosti-kompleksa-miniruyuschih-nasekomyh-v-g-moskve,55.7558,37.6173,"
"
Видовой состав членистоногих фитофагов в насаждениях Москвы,1999,"Н.К. Белова, Д.А. Белов",Россия,г. Москва,https://cyberleninka.ru/article/n/vidovoy-sostav-chlenistonogih-fitofagov-v-nasazhdeniyah-moskvy,55.7558,37.6173,
Вспышки массового размножения листогрызущих насекомых и минеров и характеристика их очагов в Москве,2000,Д.А. Белов,Россия,г. Москва,https://cyberleninka.ru/article/n/vspyshki-massovogo-razmnozheniya-listogryzuschih-nasekomyh-i-minerov-i-harakteristika-ih-ochagov-v-moskve,55.7558,37.7173,
Комплекс насекомых-филлофагов на лиственных деревьях и кустарниках Екатеринбурга,2017,"И. А. Богачёва, Г. А. Замшина",Россия,г. Екатеринбург,https://cyberleninka.ru/article/n/kompleks-nasekomyh-fillofagov-na-listvennyh-derevyah-i-kustarnikah-ekaterinburga,56.8380,60.6055,
Видовой состав фауны насекомых и размножение вредителей леса Мордовского заповедника в 1948 году,1964,Н.В. Бондаренко,Россия,Мордовский государственный заповедник: кордон Долгий Мост,https://cyberleninka.ru/article/n/vidovoy-sostav-fauny-nasekomyh-i-razmnozhenie-vrediteley-lesa-mordovskogo-zapovednika,54.861760,43.192960,
"Фауна златок (Coleoptera, Buprestidae) Ярославской области",2016,"Д.В. Власов, Н.Б. Никитский",Россия,Первомайский р-н: дер. Турыбарово,https://www.zin.ru/animalia/coleoptera/pdf/vlasov_nikitsky_2016_buprestidae.pdf,58.527838,39.826440,
"Фауна златок (Coleoptera, Buprestidae) Ярославской области",2016,"Д.В. Власов, Н.Б. Никитский",Россия,Первомайский р-н: с. Коза;  ,https://www.zin.ru/animalia/coleoptera/pdf/vlasov_nikitsky_2016_buprestidae.pdf,58.456050,39.923215,
"Фауна златок (Coleoptera, Buprestidae) Ярославской области",2016,"Д.В. Власов, Н.Б. Никитский",Россия,Любимский р-н: пос. Шарна;,https://www.zin.ru/animalia/coleoptera/pdf/vlasov_nikitsky_2016_buprestidae.pdf,58.353611,40.795278,
"Фауна златок (Coleoptera, Buprestidae) Ярославской области",2016,"Д.В. Власов, Н.Б. Никитский",Россия,Брейтовский р-н: ДГПБЗ,https://www.zin.ru/animalia/coleoptera/pdf/vlasov_nikitsky_2016_buprestidae.pdf,58.587222,37.988889,
"Фауна златок (Coleoptera, Buprestidae) Ярославской области",2016,"Д.В. Власов, Н.Б. Никитский",Россия,Брейтовский р-н: пос. Брейтово,https://www.zin.ru/animalia/coleoptera/pdf/vlasov_nikitsky_2016_buprestidae.pdf,58.300000,37.866667,
