Источник,Год публикации,Автор,Страна,Место,Ссылка,Примерные координаты,Широта ,Долгота,
Особенности комплекса минирующих насекомых в г. Москве,2011,Д.А. Белов,Россия,г. Москва,https://cyberleninka.ru/article/n/osobennosti-kompleksa-miniruyuschih-nasekomyh-v-g-moskve,"55.7558, 37.6173",55.7558,37.6173,"
"
Видовой состав членистоногих фитофагов в насаждениях Москвы,1999,"Н.К. Белова, Д.А. Белов",Россия,г. Москва,https://cyberleninka.ru/article/n/vidovoy-sostav-chlenistonogih-fitofagov-v-nasazhdeniyah-moskvy,"55.7558, 37.6173",55.7558,37.6173,
Вспышки массового размножения листогрызущих насекомых и минеров и характеристика их очагов в Москве,2000,Д.А. Белов,Россия,г. Москва,https://cyberleninka.ru/article/n/vspyshki-massovogo-razmnozheniya-listogryzuschih-nasekomyh-i-minerov-i-harakteristika-ih-ochagov-v-moskve,"55.7558, 37.6173",55.7558,37.7173,
Комплекс насекомых-филлофагов на лиственных деревьях и кустарниках Екатеринбурга,2017,"И. А. Богачёва, Г. А. Замшина",Россия,г. Екатеринбург,https://cyberleninka.ru/article/n/kompleks-nasekomyh-fillofagov-na-listvennyh-derevyah-i-kustarnikah-ekaterinburga,"56.8380, 60.6055",56.8380,60.6055,
Видовой состав фауны насекомых и размножение вредителей леса Мордовского заповедника в 1948 году,1964,Н.В. Бондаренко,Россия,Мордовский государственный заповедник: кордон Долгий Мост,https://cyberleninka.ru/article/n/vidovoy-sostav-fauny-nasekomyh-i-razmnozhenie-vrediteley-lesa-mordovskogo-zapovednika,"54.861760, 43.192960",54.861760,43.192960,
"Фауна златок (Coleoptera, Buprestidae) Ярославской области",2016,"Д.В. Власов, Н.Б. Никитский",Россия,Первомайский р-н: дер. Турыбарово,https://www.zin.ru/animalia/coleoptera/pdf/vlasov_nikitsky_2016_buprestidae.pdf,"58.527838, 39.826440",58.527838,39.826440,
,,,,Первомайский р-н: с. Коза;  ,,"58.456050, 39.923215",58.456050,39.923215,
,,,,Любимский р-н: пос. Шарна;,,"58.353611, 40.795278",58.353611,40.795278,
,,,,Брейтовский р-н: ДГПБЗ,,"58.587222, 37.988889",58.587222,37.988889,
,,,,Брейтовский р-н: пос. Брейтово,,"58.300000, 37.866667",58.300000,37.866667,
,,,,Брейтовский р-н: с. Прозорово ,,"58.388645, 37.653647",58.388645,37.653647,
,,,,Брейтовский р-н: Покровское на Сити;,,"58.402400, 37.851500",58.402400,37.851500,
,,,,Некоузский р-н: дер. Заручье,,"58.149118, 38.076576",58.149118,38.076576,
,,,,Некоузский р-н: ст. Шестихино,,"58.150000, 38.300000",58.150000,38.300000,
,,,,Некоузский р-н: пос. Борок (Академический),,"58.584167, 37.986111",58.584167,37.986111,
,,,,Рыбинский р-н: пос. Каменники;,,"58.081111, 38.289722",58.081111,38.289722,
,,,,Даниловский р-н: дер. Богатиново; ,,"58.220000, 40.300000",58.220000,40.300000,
,,,,Тутаевский р-н: с. Артемьево,,"57.703571, 39.421970",57.703571,39.421970,
,,,,"Тутаевский р-н: дер. Миланино,",,"57.645762, 39.452370",57.645762,39.452370,
,,,,Тутаевский р-н: дер. Ченцы ,,"57.625713, 39.482986",57.625713,39.482986,
,,,,Тутаевский р-н: дер. Снегирёвка,,"57.620714, 39.484087",57.620714,39.484087,
,,,,Тутаевский р-н: ст. Чёбаково,,"57.570700, 39.412130",57.570700,39.412130,
,,,,Тутаевский р-н: пос. Никульское,,"57.577192, 39.341250",57.577192,39.341250,
,,,,Угличский р-н: дер. Спирцово,,"57.531250, 38.417590",57.531250,38.417590,
,,,,Угличский р-н: дер. Высоково,,"57.576700, 38.324880",57.576700,38.324880,
,,,,Угличский р-н: биостанция ЯрГУ Улейма,,"57.548158, 38.377210",57.548158,38.377210,
,,,,Большесельский р-н: Варегово болото,,"57.572040, 39.076510",57.572040,39.076510,
,,,,Большесельский р-н: дер. Половинкино ,,"57.519917, 39.099715",57.519917,39.099715,
,,,,Ярославль: северная санитарно-промышленная зона,,"57.684750, 39.837220",57.684750,39.837220,
,,,,Ярославль: Иваньково,,"57.641790, 39.842530",57.641790,39.842530,
,,,,"Ярославль: парк в пойме р. Которосль,",,"57.600040, 39.829960",57.600040,39.829960,
,,,,Ярославль: Яковлевский бор,,"57.611190, 39.836420",57.611190,39.836420,
,,,,Ярославский р-н: станция Уткино,,"57.548260, 39.972450",57.548260,39.972450,
,,,,Ярославский р-н: станция Молот,,"57.539910, 39.925980",57.539910,39.925980,
,,,,Ярославский р-н: с. Игрищи,,"57.581540, 39.659470",57.581540,39.659470,
,,,,Ярославский р-н: с. Бердицыно,,"57.551850, 39.655040",57.551850,39.655040,
,,,,Ярославский р-н: пос. Михайловское,,"57.521750, 39.702960",57.521750,39.702960,
,,,,Ярославский р-н: пос. Дубки ,,"57.608750, 39.756620",57.608750,39.756620,
,,,,Ярославский р-н: пос. Красные Ткачи,,"57.580200, 39.865900",57.580200,39.865900,
,,,,Ярославский р-н: дер. Ляпино,,"57.519820, 39.820330",57.519820,39.820330,
,,,,Ярославский р-н: дер. Вакарево,,"57.518690, 39.850180",57.518690,39.850180,
,,,,Ярославский р-н: дер. Андреевская,,"57.526800, 39.821960",57.526800,39.821960,
,,,,Некрасовский р-н: с. Ульково,,"57.741200, 40.513000",57.741200,40.513000,
,,,,Некрасовский р-н: с. Диево-Городище ,,"57.531250, 38.417590",57.531250,38.417590,
,,,,Гаврилов-Ямский р-н: дер. Степанцево;,,"57.576700, 38.324880",57.576700,38.324880,
,,,,Борисоглебский р-н: пос. Борисоглебский ,,"57.548158, 38.377210",57.548158,38.377210,
,,,,Борисоглебский р-н: дер. Борушка,,"57.572040, 39.076510",57.572040,39.076510,
,,,,Борисоглебский р-н: дер. Стёпаново,,"57.519917, 39.099715",57.519917,39.099715,
,,,,Ростовский р-н: станция Меленки,,"57.255206, 39.150711",57.255206,39.150711,
,,,,Ростовский р-н: станция Итларь,,"57.251030, 39.130335",57.251030,39.130335,
,,,,Ростовский р-н: дер. Бахматово,,"57.221033, 39.070014",57.221033,39.070014,
,,,,Ростовский р-н: г. Ростов,,"57.260833, 39.400000",57.260833,39.400000,
,,,,Ростовский р-н: пос. Петровск,,"57.308333, 39.250000",57.308333,39.250000,
,,,,Переславский р-н: НП Плещеево озеро - урочище Кухмарь,,"57.376735, 39.827819",57.376735,39.827819,
,,,,Переславский р-н: НП Плещеево озеро - урочище Симак,,"57.216667, 39.150000",57.216667,39.150000,
,,,,Переславский р-н: окр. дер. Криушкино,,"57.260000, 39.400000",57.260000,39.400000,
,,,,"Переславский р-н: г. Переславль-Залесский, дендрарий",,"57.120000, 38.970000",57.120000,38.970000,
